출하일자,품종대분류,품종소분류,신고소,출하량
2022-11-25,감귤류,노지온주,제주공항,10.49
2022-11-25,감귤류,노지온주,제주항,916.86
2022-11-25,감귤류,노지온주,서귀포항,0
2022-11-25,감귤류,노지온주,한림항,0
2022-11-25,감귤류,노지온주,애월항,0
2022-11-25,감귤류,노지온주,성산항,0
2022-11-25,만감류,레드향,제주공항,0.24
2022-11-25,만감류,레드향,제주항,0
2022-11-25,만감류,레드향,서귀포항,0
2022-11-25,만감류,레드향,한림항,0
2022-11-25,만감류,레드향,애월항,0
2022-11-25,만감류,레드향,성산항,0
2022-11-25,만감류,한라봉,제주공항,0.45
2022-11-25,만감류,한라봉,제주항,0.61
2022-11-25,만감류,한라봉,서귀포항,0
2022-11-25,만감류,한라봉,한림항,0
2022-11-25,만감류,한라봉,애월항,0
2022-11-25,만감류,한라봉,성산항,0
2022-11-26,감귤류,노지온주,제주공항,1.47
2022-11-26,감귤류,노지온주,제주항,751.15
2022-11-26,감귤류,노지온주,서귀포항,0
2022-11-26,감귤류,노지온주,한림항,30.43
2022-11-26,감귤류,노지온주,애월항,0
2022-11-26,감귤류,노지온주,성산항,448.83
2022-11-26,감귤류,하우스온주,제주공항,0
2022-11-26,감귤류,하우스온주,제주항,0
2022-11-26,감귤류,하우스온주,서귀포항,0
2022-11-26,감귤류,하우스온주,한림항,0
2022-11-26,감귤류,하우스온주,애월항,0
2022-11-26,감귤류,하우스온주,성산항,0.35
2022-11-26,만감류,레드향,제주공항,0
2022-11-26,만감류,레드향,제주항,0.6
2022-11-26,만감류,레드향,서귀포항,0
2022-11-26,만감류,레드향,한림항,0
2022-11-26,만감류,레드향,애월항,0
2022-11-26,만감류,레드향,성산항,2.38
2022-11-26,만감류,한라봉,제주공항,0
2022-11-26,만감류,한라봉,제주항,5.18
2022-11-26,만감류,한라봉,서귀포항,0
2022-11-26,만감류,한라봉,한림항,0
2022-11-26,만감류,한라봉,애월항,0
2022-11-26,만감류,한라봉,성산항,6
2022-11-27,감귤류,노지온주,제주공항,21.24
2022-11-27,감귤류,노지온주,제주항,"1,567.56"
2022-11-27,감귤류,노지온주,서귀포항,0
2022-11-27,감귤류,노지온주,한림항,16.26
2022-11-27,감귤류,노지온주,애월항,0
2022-11-27,감귤류,노지온주,성산항,328.87
2022-11-27,감귤류,하우스온주,제주공항,1.33
2022-11-27,감귤류,하우스온주,제주항,0
2022-11-27,감귤류,하우스온주,서귀포항,0
2022-11-27,감귤류,하우스온주,한림항,0
2022-11-27,감귤류,하우스온주,애월항,0
2022-11-27,감귤류,하우스온주,성산항,0
2022-11-27,만감류,레드향,제주공항,0.5
2022-11-27,만감류,레드향,제주항,1.33
2022-11-27,만감류,레드향,서귀포항,0
2022-11-27,만감류,레드향,한림항,0
2022-11-27,만감류,레드향,애월항,0
2022-11-27,만감류,레드향,성산항,0
2022-11-27,만감류,한라봉,제주공항,0.81
2022-11-27,만감류,한라봉,제주항,4.6
2022-11-27,만감류,한라봉,서귀포항,0
2022-11-27,만감류,한라봉,한림항,0
2022-11-27,만감류,한라봉,애월항,0
2022-11-27,만감류,한라봉,성산항,7.68
2022-11-28,감귤류,노지온주,제주공항,8.42
2022-11-28,감귤류,노지온주,제주항,"1,337.03"
2022-11-28,감귤류,노지온주,서귀포항,0
2022-11-28,감귤류,노지온주,한림항,14.01
2022-11-28,감귤류,노지온주,애월항,0
2022-11-28,감귤류,노지온주,성산항,385.38
2022-11-28,감귤류,하우스온주,제주공항,1.2
2022-11-28,감귤류,하우스온주,제주항,0
2022-11-28,감귤류,하우스온주,서귀포항,0
2022-11-28,감귤류,하우스온주,한림항,0
2022-11-28,감귤류,하우스온주,애월항,0
2022-11-28,감귤류,하우스온주,성산항,0
2022-11-28,만감류,레드향,제주공항,1.37
2022-11-28,만감류,레드향,제주항,1.71
2022-11-28,만감류,레드향,서귀포항,0
2022-11-28,만감류,레드향,한림항,0
2022-11-28,만감류,레드향,애월항,0
2022-11-28,만감류,레드향,성산항,0.3
2022-11-28,만감류,한라봉,제주공항,0.94
2022-11-28,만감류,한라봉,제주항,4.04
2022-11-28,만감류,한라봉,서귀포항,0
2022-11-28,만감류,한라봉,한림항,0
2022-11-28,만감류,한라봉,애월항,0
2022-11-28,만감류,한라봉,성산항,4.54
2022-11-29,감귤류,노지온주,제주공항,17.09
2022-11-29,감귤류,노지온주,제주항,977.59
2022-11-29,감귤류,노지온주,서귀포항,0
2022-11-29,감귤류,노지온주,한림항,8.85
2022-11-29,감귤류,노지온주,애월항,0
2022-11-29,감귤류,노지온주,성산항,324.77
2022-11-29,감귤류,하우스온주,제주공항,1.01
2022-11-29,감귤류,하우스온주,제주항,0
2022-11-29,감귤류,하우스온주,서귀포항,0
2022-11-29,감귤류,하우스온주,한림항,0
2022-11-29,감귤류,하우스온주,애월항,0
2022-11-29,감귤류,하우스온주,성산항,0
2022-11-29,만감류,레드향,제주공항,0.64
2022-11-29,만감류,레드향,제주항,0
2022-11-29,만감류,레드향,서귀포항,0
2022-11-29,만감류,레드향,한림항,0
2022-11-29,만감류,레드향,애월항,0
2022-11-29,만감류,레드향,성산항,0
2022-11-29,만감류,한라봉,제주공항,0.46
2022-11-29,만감류,한라봉,제주항,5.08
2022-11-29,만감류,한라봉,서귀포항,0
2022-11-29,만감류,한라봉,한림항,0
2022-11-29,만감류,한라봉,애월항,0
2022-11-29,만감류,한라봉,성산항,2.12
2022-11-30,감귤류,노지온주,제주공항,13.76
2022-11-30,감귤류,노지온주,제주항,"1,551.35"
2022-11-30,감귤류,노지온주,서귀포항,0
2022-11-30,감귤류,노지온주,한림항,26.97
2022-11-30,감귤류,노지온주,애월항,0
2022-11-30,감귤류,노지온주,성산항,373.91
2022-11-30,만감류,레드향,제주공항,0.01
2022-11-30,만감류,레드향,제주항,4.35
2022-11-30,만감류,레드향,서귀포항,0
2022-11-30,만감류,레드향,한림항,0
2022-11-30,만감류,레드향,애월항,0
2022-11-30,만감류,레드향,성산항,0.39
2022-11-30,만감류,한라봉,제주공항,0.83
2022-11-30,만감류,한라봉,제주항,5.33
2022-11-30,만감류,한라봉,서귀포항,0
2022-11-30,만감류,한라봉,한림항,0
2022-11-30,만감류,한라봉,애월항,0
2022-11-30,만감류,한라봉,성산항,2.18
2022-12-01,감귤류,노지온주,제주공항,7.76
2022-12-01,감귤류,노지온주,제주항,"1,571.08"
2022-12-01,감귤류,노지온주,서귀포항,0
2022-12-01,감귤류,노지온주,한림항,18.12
2022-12-01,감귤류,노지온주,애월항,0
2022-12-01,감귤류,노지온주,성산항,322.1
2022-12-01,만감류,레드향,제주공항,0.01
2022-12-01,만감류,레드향,제주항,2.39
2022-12-01,만감류,레드향,서귀포항,0
2022-12-01,만감류,레드향,한림항,0
2022-12-01,만감류,레드향,애월항,0
2022-12-01,만감류,레드향,성산항,0
2022-12-01,만감류,천혜향,제주공항,0.01
2022-12-01,만감류,천혜향,제주항,0
2022-12-01,만감류,천혜향,서귀포항,0
2022-12-01,만감류,천혜향,한림항,0
2022-12-01,만감류,천혜향,애월항,0
2022-12-01,만감류,천혜향,성산항,0
2022-12-01,만감류,한라봉,제주공항,0.51
2022-12-01,만감류,한라봉,제주항,10.26
2022-12-01,만감류,한라봉,서귀포항,0
2022-12-01,만감류,한라봉,한림항,0
2022-12-01,만감류,한라봉,애월항,0
2022-12-01,만감류,한라봉,성산항,5.7
2022-12-02,감귤류,노지온주,제주공항,24.17
2022-12-02,감귤류,노지온주,제주항,"1,212.85"
2022-12-02,감귤류,노지온주,서귀포항,0
2022-12-02,감귤류,노지온주,한림항,0
2022-12-02,감귤류,노지온주,애월항,0
2022-12-02,감귤류,노지온주,성산항,0
2022-12-02,만감류,레드향,제주공항,0
2022-12-02,만감류,레드향,제주항,0.3
2022-12-02,만감류,레드향,서귀포항,0
2022-12-02,만감류,레드향,한림항,0
2022-12-02,만감류,레드향,애월항,0
2022-12-02,만감류,레드향,성산항,0
2022-12-02,만감류,한라봉,제주공항,0.46
2022-12-02,만감류,한라봉,제주항,5.94
2022-12-02,만감류,한라봉,서귀포항,0
2022-12-02,만감류,한라봉,한림항,0
2022-12-02,만감류,한라봉,애월항,0
2022-12-02,만감류,한라봉,성산항,0
2022-12-03,감귤류,노지온주,제주공항,9.23
2022-12-03,감귤류,노지온주,제주항,763.74
2022-12-03,감귤류,노지온주,서귀포항,0
2022-12-03,감귤류,노지온주,한림항,29.17
2022-12-03,감귤류,노지온주,애월항,0
2022-12-03,감귤류,노지온주,성산항,483.16
2022-12-03,만감류,레드향,제주공항,0
2022-12-03,만감류,레드향,제주항,3.1
2022-12-03,만감류,레드향,서귀포항,0
2022-12-03,만감류,레드향,한림항,0
2022-12-03,만감류,레드향,애월항,0
2022-12-03,만감류,레드향,성산항,1.47
2022-12-03,만감류,한라봉,제주공항,0
2022-12-03,만감류,한라봉,제주항,8.19
2022-12-03,만감류,한라봉,서귀포항,0
2022-12-03,만감류,한라봉,한림항,0
2022-12-03,만감류,한라봉,애월항,0
2022-12-03,만감류,한라봉,성산항,8.69
2022-12-04,감귤류,노지온주,제주공항,20.07
2022-12-04,감귤류,노지온주,제주항,"1,936.97"
2022-12-04,감귤류,노지온주,서귀포항,0
2022-12-04,감귤류,노지온주,한림항,48.12
2022-12-04,감귤류,노지온주,애월항,0
2022-12-04,감귤류,노지온주,성산항,387.61
2022-12-04,만감류,레드향,제주공항,0.09
2022-12-04,만감류,레드향,제주항,6.08
2022-12-04,만감류,레드향,서귀포항,0
2022-12-04,만감류,레드향,한림항,0
2022-12-04,만감류,레드향,애월항,0
2022-12-04,만감류,레드향,성산항,0.75
2022-12-04,만감류,천혜향,제주공항,0
2022-12-04,만감류,천혜향,제주항,0
2022-12-04,만감류,천혜향,서귀포항,0
