출하일자,품종대분류,품종소분류,신고소,출하량
20180101,감귤류,노지온주,제주공항,2.98
20180101,감귤류,노지온주,제주항,1029.07
20180101,감귤류,노지온주,서귀포항,1010.95
20180101,감귤류,노지온주,한림항,247.76
20180101,감귤류,노지온주,애월항,290.13
20180101,감귤류,노지온주,성산항,555.21
20180102,감귤류,노지온주,제주공항,86.8
20180102,감귤류,노지온주,제주항,925.84
20180102,감귤류,노지온주,서귀포항,1015.79
20180102,감귤류,노지온주,한림항,213.38
20180102,감귤류,노지온주,애월항,49.47
20180102,감귤류,노지온주,성산항,477.91
20180103,감귤류,노지온주,제주공항,15
20180103,감귤류,노지온주,제주항,920.66
20180103,감귤류,노지온주,서귀포항,1280.07
20180103,감귤류,노지온주,한림항,258.65
20180103,감귤류,노지온주,애월항,135.48
20180103,감귤류,노지온주,성산항,499.95
20180104,감귤류,노지온주,제주공항,19.01
20180104,감귤류,노지온주,제주항,1103.82
20180104,감귤류,노지온주,서귀포항,1222.97
20180104,감귤류,노지온주,한림항,220.66
20180104,감귤류,노지온주,애월항,109.22
20180104,감귤류,노지온주,성산항,450.71
20180105,감귤류,노지온주,제주공항,36.03
20180105,감귤류,노지온주,제주항,651.65
20180105,감귤류,노지온주,서귀포항,168.36
20180105,감귤류,노지온주,한림항,0
20180105,감귤류,노지온주,애월항,0
20180105,감귤류,노지온주,성산항,0
20180106,감귤류,노지온주,제주공항,11.79
20180106,감귤류,노지온주,제주항,814.46
20180106,감귤류,노지온주,서귀포항,1293.23
20180106,감귤류,노지온주,한림항,290.47
20180106,감귤류,노지온주,애월항,205.6
20180106,감귤류,노지온주,성산항,543.07
20180107,감귤류,노지온주,제주공항,10.95
20180107,감귤류,노지온주,제주항,971.93
20180107,감귤류,노지온주,서귀포항,972.35
20180107,감귤류,노지온주,한림항,219.3
20180107,감귤류,노지온주,애월항,207.75
20180107,감귤류,노지온주,성산항,403.41
20180108,감귤류,노지온주,제주공항,20.87
20180108,감귤류,노지온주,제주항,742.34
20180108,감귤류,노지온주,서귀포항,992.97
20180108,감귤류,노지온주,한림항,207.63
20180108,감귤류,노지온주,애월항,189.76
20180108,감귤류,노지온주,성산항,402.28
20180109,감귤류,노지온주,제주공항,30.64
20180109,감귤류,노지온주,제주항,516.36
20180109,감귤류,노지온주,서귀포항,966.06
20180109,감귤류,노지온주,한림항,239.55
20180109,감귤류,노지온주,애월항,189.74
20180109,감귤류,노지온주,성산항,412.42
20180110,감귤류,노지온주,제주공항,12.06
20180110,감귤류,노지온주,제주항,310.6
20180110,감귤류,노지온주,서귀포항,1052.1
20180110,감귤류,노지온주,한림항,174.39
20180110,감귤류,노지온주,애월항,139.19
20180110,감귤류,노지온주,성산항,349.81
20180111,감귤류,노지온주,제주공항,1.5
20180111,감귤류,노지온주,제주항,562.63
20180111,감귤류,노지온주,서귀포항,844.88
20180111,감귤류,노지온주,한림항,121.2
20180111,감귤류,노지온주,애월항,140.52
20180111,감귤류,노지온주,성산항,325.36
20180112,감귤류,노지온주,제주공항,15.07
20180112,감귤류,노지온주,제주항,482.93
20180112,감귤류,노지온주,서귀포항,153.49
20180112,감귤류,노지온주,한림항,0
20180112,감귤류,노지온주,애월항,0
20180112,감귤류,노지온주,성산항,0
20180113,감귤류,노지온주,제주공항,8.46
20180113,감귤류,노지온주,제주항,562.99
20180113,감귤류,노지온주,서귀포항,954.29
20180113,감귤류,노지온주,한림항,209.65
20180113,감귤류,노지온주,애월항,53.06
20180113,감귤류,노지온주,성산항,366.08
20180114,감귤류,노지온주,제주공항,13.67
20180114,감귤류,노지온주,제주항,951.36
20180114,감귤류,노지온주,서귀포항,895.73
20180114,감귤류,노지온주,한림항,184.32
20180114,감귤류,노지온주,애월항,104.4
20180114,감귤류,노지온주,성산항,294.9
20180115,감귤류,노지온주,제주공항,25.82
20180115,감귤류,노지온주,제주항,975.35
20180115,감귤류,노지온주,서귀포항,974.93
20180115,감귤류,노지온주,한림항,166.21
20180115,감귤류,노지온주,애월항,110.53
20180115,감귤류,노지온주,성산항,352.49
